rank_window,heat_score,heat_rank_score,source,kind,agency,title,published_date,url,document_url,format,rationale,heat_score_today,exact_url_mentions_today,filename_mentions_today,canonical_mentions_today,social_exact_mentions_today,crawl_hits_today,providers_checked_today,errors_today,heat_score_7d,exact_url_mentions_7d,filename_mentions_7d,canonical_mentions_7d,social_exact_mentions_7d,crawl_hits_7d,providers_checked_7d,errors_7d,heat_score_30d,exact_url_mentions_30d,filename_mentions_30d,canonical_mentions_30d,social_exact_mentions_30d,crawl_hits_30d,providers_checked_30d,errors_30d
7d,10.0,10.0,NYS Comptroller,report,,"For Many New Yorkers, Incomes Not Keeping Pace with Inflation",,https://www.osc.ny.gov/reports/median-income,,html,filename mentions found; lower-confidence heat,2.0,0,1,0,0,0,"googlenews,hackernews",,10.0,0,18,0,0,0,"googlenews,hackernews",,10.0,0,19,0,0,0,"googlenews,hackernews",
7d,8.0,8.0,NYC Rules - Proposed,rule,DCWP,Debt Collectors,2022-12-19,https://rules.cityofnewyork.us/rule/debt-collectors,,html,filename mentions found; lower-confidence heat,0.0,0,0,0,0,0,"googlenews,hackernews",,8.0,0,4,0,0,0,"googlenews,hackernews",,10.0,0,9,0,0,0,"googlenews,hackernews",
7d,4.0,4.0,NYC Rules - Proposed,rule,LOFT BOARD,Protected Occupancy,2026-03-19,https://rules.cityofnewyork.us/rule/protected-occupancy,,html,filename mentions found; lower-confidence heat,0.0,0,0,0,0,0,"googlenews,hackernews",,4.0,0,2,0,0,0,"googlenews,hackernews",,6.0,0,3,0,0,0,"googlenews,hackernews",
7d,2.0,2.0,NYC Rules - Proposed,rule,DCWP,Adjudicatory Proceedings,2026-04-23,https://rules.cityofnewyork.us/rule/adjudicatory-proceedings,,html,filename mentions found; lower-confidence heat,0.0,0,0,0,0,0,"googlenews,hackernews",,2.0,0,1,0,0,0,"googlenews,hackernews",,2.0,0,1,0,0,0,"googlenews,hackernews",
